Expression,Definition + Context,Example Sentence
immune response,The body's defensive reaction to a pathogen or foreign substance — fever is one manifestation of this response,Fever is the body's immune response to an infection or pathogen entering the system.
exceed,To go beyond a defined limit or threshold — used with temperature dosage and clinical parameters,Fever is defined as a core body temperature exceeding 38 degrees Celsius.
prolonged,Lasting for longer than expected or desired — Richard used this frequently: prolonged fever / prolonged use / prolonged exposure,Prolonged fever may result in dehydration and requires medical review if it does not resolve within 48 hours.
interval,A defined period of time between events or measurements — used in monitoring frequency instructions,Body temperature should be measured at regular intervals — every four hours during an acute febrile illness.
COPD (Chronic Obstructive Pulmonary Disease),A serious progressive lung condition caused primarily by long-term smoking — characterised by airflow limitation — always give the full form on first use,"COPD, which is a chronic respiratory disease, was identified as the primary reason for his progressive breathlessness."
cardiovascular disease,Disease affecting the heart and blood vessels — a major consequence of smoking hypertension and diabetes,Smoking increases blood pressure which leads to cardiovascular disease and significantly raises the risk of stroke.
second-hand smoke,Tobacco smoke inhaled involuntarily by non-smokers — also called passive smoking — stress on first word SEK-und,Children exposed to second-hand smoke are at increased risk of respiratory infections and impaired cognitive development.
nicotine dependence,The clinical term for nicotine addiction — preferred in formal and OET writing over nicotine addiction,Nicotine dependence makes smoking cessation particularly challenging without appropriate pharmacological support.
cessation,The act of stopping something permanently — especially smoking — a key clinical noun in OET — stress on se-SAY-shun,Smoking cessation is strongly recommended and pharmacological support such as nicotine replacement therapy is available.
impair,To weaken damage or reduce the effectiveness of a function or ability — stress on im-PAIR,Second-hand smoke can impair cognitive function and respiratory development in children exposed during early childhood.
detrimental,Causing harm or damage — a high-register clinical adjective — stress on det-rih-MEN-tul,The detrimental effects of smoking extend beyond the individual to affect family members and the wider healthcare system.
vulnerable,Susceptible to harm or at increased risk — stress on VUL-ner-uh-bul,Children are more vulnerable than adults to the effects of second-hand smoke on respiratory and cognitive development.
